status_name
Active
Dissolved
Liquidation
Receivership
Administration
Voluntary Arrangement
Converted / Closed
Incorporated
Removed
Open
Closed
Registered
Dormant
Non-trading
Live but Receiver Manager on at least one charge
Active - Proposal to Strike off
Active - In Administration
Active - Liquidation
Active - Receivership
Active - Voluntary Arrangement
